City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,tazacorte,28.629,-17.9293,76.17,78,20,14.97,ES,1692387237
83,yeniseysk,58.4497,92.1703,51.31,95,88,3.89,RU,1692387237
84,greymouth,-42.4667,171.2,39.85,89,100,10.38,NZ,1692387237
85,bethel,41.3712,-73.414,82.02,59,0,8.05,US,1692387237
86,tiksi,71.6872,128.8694,37.54,93,100,7.61,RU,1692387238
87,rawson,-43.3002,-65.1023,42.53,83,99,24.49,AR,1692387238
88,misratah,32.3754,15.0925,80.71,62,0,6.58,LY,1692387238
89,invercargill,-46.4,168.35,42.03,79,100,3.0,NZ,1692387144
90,nar'yan-mar,67.6713,53.087,48.85,76,81,24.14,RU,1692387239
91,saipan,15.1355,145.701,81.3,100,75,0.0,MP,1692387239
92,lompoc,34.6391,-120.4579,88.02,66,20,6.91,US,1692387239
93,albany,42.6001,-73.9662,76.17,65,75,1.99,US,1692387115
94,ternate,0.8,127.4,80.11,79,100,4.56,ID,1692387240
95,turpan,42.9333,89.1667,89.64,15,69,3.18,CN,1692387240
96,chatel-guyon,45.9167,3.0667,79.12,54,0,2.3,FR,1692387240
97,amqui,48.4638,-67.4313,64.9,94,100,11.45,CA,1692387241
98,la ronge,55.1001,-105.2842,62.85,82,100,11.5,CA,1692387242
99,maracas,-13.4411,-40.4308,62.82,84,100,6.4,BR,1692387242
100,malvan,16.0667,73.4667,79.79,84,100,12.06,IN,1692387243
101,isabela,6.7085,121.9711,78.03,89,99,3.24,PH,1692387244
102,carnarvon,-24.8667,113.6333,62.94,32,0,13.76,AU,1692387244
103,el bolson,-41.9667,-71.5167,41.04,82,74,5.84,AR,1692387244
104,hermansverk,61.1846,6.8502,70.25,52,75,8.05,NO,1692387245
105,avarua,-21.2078,-159.775,77.05,88,100,5.75,CK,1692387245
106,san patricio,28.017,-97.5169,102.29,39,1,16.73,US,1692387246
107,karymskoye,51.6167,114.35,51.75,84,99,10.42,RU,1692387246
108,vikhorevka,56.1201,101.1636,54.99,93,100,11.32,RU,1692387246
109,klyuchi,52.2667,79.1667,62.02,54,100,7.49,RU,1692387247
110,san fernando,15.0286,120.6898,82.13,91,39,2.93,PH,1692387247
111,mount pearl,47.5166,-52.7813,70.14,76,100,8.05,CA,1692387247
112,el quebrachal,-25.2833,-64.0667,73.78,37,41,14.29,AR,1692387247
113,blackmans bay,-43.0167,147.3167,45.52,86,100,6.24,AU,1692387247
114,sinop,41.7711,34.8709,68.4,93,34,1.7,TR,1692387248
115,polyarnyy,69.1989,33.4478,50.54,79,100,13.67,RU,1692387248
116,kenora,49.8167,-94.4337,76.17,41,40,17.27,CA,1692387248
117,berlin,52.5244,13.4105,80.94,68,0,8.01,DE,1692387248
118,west island,-12.1568,96.8225,75.18,73,97,27.63,CC,1692387248
119,charters towers,-20.1,146.2667,54.79,36,5,10.36,AU,1692387248
120,jayapura,-2.5333,140.7,76.39,89,100,2.06,ID,1692387248
121,yellowknife,62.456,-114.3525,57.42,64,100,12.66,CA,1692387249
122,trebon,49.0036,14.7707,73.49,69,72,4.32,CZ,1692387249
123,cidreira,-30.1811,-50.2056,68.58,82,100,6.15,BR,1692387250
124,port mathurin,-19.6833,63.4167,72.82,78,4,14.34,MU,1692387250
125,divnogorsk,55.9594,92.3619,54.09,98,85,4.16,RU,1692387250
126,inhambane,-23.865,35.3833,71.58,94,0,11.5,MZ,1692387119
127,georgetown,5.4112,100.3354,82.35,85,20,3.44,MY,1692387109
128,asau,46.4333,26.4,70.72,59,6,3.71,RO,1692387251
129,codrington,-38.2667,141.9667,54.61,89,100,17.34,AU,1692387252
130,moissala,8.3404,17.7663,72.95,93,100,2.37,TD,1692387252
131,ust-nera,64.5667,143.2,56.41,90,100,6.93,RU,1692387252
132,thompson,55.7435,-97.8558,60.96,100,100,5.75,CA,1692387253
133,keflavik,64.0049,-22.5624,60.71,88,75,17.27,IS,1692387253
134,vrede,-27.4257,29.1659,53.44,30,100,3.15,ZA,1692387253
135,thunder bay,48.4001,-89.3168,75.18,43,40,13.8,CA,1692387015
136,sarupathar,26.1984,93.8094,77.02,98,100,3.29,IN,1692387253
137,salalah,17.0151,54.0924,78.89,94,100,3.44,OM,1692387258
138,port alfred,-33.5906,26.891,58.14,81,52,14.45,ZA,1692387259
139,as sulayyil,20.4607,45.5779,98.85,17,3,11.81,SA,1692387259
140,palatka,29.6486,-81.6376,93.11,53,100,1.99,US,1692387259
141,canto del llano,8.1761,-80.973,81.91,80,99,5.01,PA,1692387260
142,korce,40.6186,20.7808,69.26,56,19,0.43,AL,1692387260
143,vadso,70.0744,29.7487,50.88,71,75,16.11,NO,1692387261
144,aldinga beach,-35.2793,138.4604,54.75,92,45,9.73,AU,1692387236
145,atafu village,-8.5421,-172.5159,82.62,79,99,17.52,TK,1692387261
146,ilulissat,69.2167,-51.1,48.22,66,75,5.75,GL,1692387261
147,moree,-29.4667,149.85,38.41,90,2,8.08,AU,1692387261
148,olonkinbyen,70.9221,-8.7187,43.77,90,100,12.33,SJ,1692387262
149,tsetserleg,47.475,101.4542,44.51,69,0,4.83,MN,1692387262
150,ola,59.5833,151.2833,57.69,83,0,2.62,RU,1692387262
151,lihue,21.9789,-159.3672,83.79,70,40,13.8,US,1692387151
152,tionk essil,12.7856,-16.5217,84.25,88,100,9.42,SN,1692387262
153,urangan,-25.3,152.9,59.2,50,0,17.02,AU,1692387263
154,mount gambier,-37.8333,140.7667,53.55,91,100,10.89,AU,1692387263
155,balsas,-7.5325,-46.0356,98.56,18,51,6.98,BR,1692387264
156,rusk,31.796,-95.1502,105.51,24,0,3.44,US,1692387264
157,mirnyy,62.5353,113.9611,60.24,82,100,13.0,RU,1692387264
158,boa vista,2.8197,-60.6733,89.58,55,40,2.3,BR,1692387265
159,alice springs,-23.7,133.8833,40.55,65,0,0.0,AU,1692387266
160,uturoa,-16.7333,-151.4333,77.63,68,71,20.07,PF,1692387267
161,gracias,14.5833,-88.5833,87.46,44,84,6.15,HN,1692387267
162,debica,50.0515,21.4114,72.37,69,9,5.5,PL,1692387267
163,gadzhiyevo,69.2551,33.3362,49.78,80,100,14.23,RU,1692387268
164,nuuk,64.1835,-51.7216,43.41,87,40,11.5,GL,1692387105
165,zav'yalovo,56.7847,53.3776,71.4,77,39,4.76,RU,1692387268
166,bouar,5.934,15.596,65.3,92,81,1.52,CF,1692387269
167,dzhangala,49.2167,50.3333,81.55,25,7,11.34,KZ,1692387269
168,eureka,40.8021,-124.1637,67.39,85,46,5.01,US,1692387269
169,pryor creek,36.3084,-95.3169,95.99,62,0,6.91,US,1692387270
170,machico,32.7,-16.7667,79.43,74,20,14.97,PT,1692387270
171,santana,-0.0583,-51.1817,93.38,52,40,9.22,BR,1692387270
172,kolonia,50.9333,6.95,81.95,68,0,5.75,DE,1692386989
173,mugango,-1.6833,33.7,73.58,68,44,3.71,TZ,1692387271
174,villa el carmen,11.9801,-86.5057,87.17,46,98,15.08,NI,1692387271
175,bekobod,40.2208,69.2697,74.89,22,0,3.83,UZ,1692387271
176,maxixe,-23.8597,35.3472,71.42,94,0,11.5,MZ,1692387271
177,ulsteinvik,62.3432,5.8487,66.9,84,83,5.3,NO,1692387271
178,nuku'alofa,-21.1333,-175.2,68.34,88,75,10.36,TO,1692387272
179,saint-pierre,-21.3393,55.4781,67.68,83,0,4.61,RE,1692387272
180,shimanovsk,52.0,127.7,55.83,86,0,4.9,RU,1692387272
181,yen vinh,18.6667,105.6667,81.99,80,2,5.01,VN,1692387273
182,merizo village,13.2658,144.6691,81.16,96,94,10.31,GU,1692387273
183,torit,4.4133,32.5678,78.49,54,68,2.89,SS,1692387274
184,collingwood,44.4834,-80.2164,60.62,91,100,20.96,CA,1692387274
185,luena,-11.7833,19.9167,75.38,31,0,5.75,AO,1692387274
186,estevan,49.1334,-102.9842,88.0,37,75,10.36,CA,1692387274
187,hadibu,12.65,54.0333,78.03,81,80,15.32,YE,1692387275
188,urzhum,57.1141,49.9996,66.72,88,99,7.52,RU,1692387275
189,mabaruma,8.2,-59.7833,88.09,62,34,5.79,GY,1692387276
190,beau vallon,-20.4189,57.6953,70.03,83,20,2.3,MU,1692387276
191,isafjordur,66.0755,-23.124,53.64,87,100,0.0,IS,1692387276
192,gumdag,39.2061,54.5906,84.65,32,0,7.58,TM,1692387276
193,metlili chaamba,32.2667,3.6333,101.34,11,20,9.22,DZ,1692387277
194,stettler,52.3168,-112.7186,53.35,100,100,16.11,CA,1692387197
195,la passe,45.5549,-0.8967,86.23,84,99,6.22,FR,1692387277
196,saldanha,-33.0117,17.9442,51.85,84,100,9.75,ZA,1692387277
197,rikaze,29.25,88.8833,58.89,54,71,3.91,CN,1692387278
198,weno,7.4515,151.8468,78.75,94,75,0.0,FM,1692387278
199,kyelang,32.5833,77.0333,50.9,75,57,3.47,IN,1692387278
200,murzuq,25.9155,13.9184,93.45,19,15,16.87,LY,1692387278
201,dien bien phu,21.3833,103.0167,76.87,93,100,0.2,VN,1692387278
202,magnaga,7.1694,125.8931,75.18,88,100,1.3,PH,1692387279
203,punalur,9.0,76.9333,75.25,91,100,2.53,IN,1692387279
204,adre,13.4667,22.2,71.94,80,100,10.49,TD,1692387279
205,kingston,17.997,-76.7936,90.55,66,40,9.22,JM,1692386886
206,nouadhibou,20.931,-17.0347,75.18,83,39,18.41,MR,1692387280
207,baganga,7.5739,126.56,77.18,87,100,3.91,PH,1692387280
208,constitucion,-35.3333,-72.4167,53.4,61,100,4.94,CL,1692387280
209,mundgod,14.9667,75.0333,69.33,94,100,7.43,IN,1692387280
210,abepura,-2.6333,140.5833,76.01,83,20,0.0,ID,1692387280
211,aitape,-3.1374,142.3475,75.78,87,91,1.95,PG,1692387281
212,barreirinha,-2.7933,-57.07,103.44,22,69,3.69,BR,1692387281
213,susuman,62.7833,148.1667,55.27,83,90,3.27,RU,1692387281
214,san rafael del sur,11.8485,-86.4384,86.97,49,95,15.17,NI,1692387281
215,chissamba,-12.1667,17.3333,73.47,22,3,5.44,AO,1692387282
216,itaituba,-4.2761,-55.9836,100.56,37,20,6.91,BR,1692387282
217,punta arenas,-53.15,-70.9167,39.31,93,100,13.8,CL,1692387191
218,kodiak,57.79,-152.4072,53.11,71,0,3.44,US,1692387225
219,zaozersk,69.4005,32.4476,50.07,77,99,16.89,RU,1692387283
220,bairnsdale,-37.8333,147.6167,49.05,68,90,1.01,AU,1692387283
221,queenstown,-31.8976,26.8753,44.15,46,99,0.4,ZA,1692387283
222,farafangana,-22.8167,47.8333,68.4,86,59,9.51,MG,1692387283
223,salinopolis,-0.6136,-47.3561,83.03,74,38,14.9,BR,1692387142
224,poso,-1.3959,120.7524,79.34,73,100,5.21,ID,1692387289
225,bikenibeu village,1.3673,173.1241,82.36,83,75,3.44,KI,1692387289
226,russellville,35.2784,-93.1338,92.79,51,0,5.75,US,1692387256
227,pervomayskiy,53.2485,40.2871,72.61,59,0,6.98,RU,1692387290
228,kidal,18.4411,1.4078,96.66,32,68,8.08,ML,1692387290
229,saint croix,17.7397,-64.7388,88.25,70,75,16.11,VI,1692387290
230,berdigestyakh,62.0989,126.6992,59.81,82,100,7.49,RU,1692387291
231,kapuskasing,49.4169,-82.4331,66.29,48,75,16.11,CA,1692387291
232,loiza,18.4313,-65.8802,92.62,74,40,24.16,PR,1692387292
233,katsuura,35.1333,140.3,78.78,92,1,3.47,JP,1692387292
234,tsiombe,-25.3,45.4833,68.09,61,4,4.85,MG,1692387292
